12/26/2023		 	GIANT 0388	-103.96	16,303.29
12/22/2023		 	SERVICE CHARGE	-3.00	16,407.25
12/15/2023		 	STATE OF DELAWAR	1,688.90	16,410.25
12/14/2023		 	VERIZON	-33.99	14,721.35
12/01/2023		 	STATE OF DELAWAR	1,688.92	14,755.34
11/30/2023		 	TOWN OF MDDLETWN	-87.16	13,066.42
11/24/2023		 	CHESAPEAKE	-32.87	13,153.58
11/22/2023		 	SERVICE CHARGE	-3.00	13,186.45
11/17/2023		 	STATE OF DELAWAR	1,688.92	13,189.45
11/14/2023		 	VERIZON	-33.99	11,500.53
11/03/2023		 	STATE OF DELAWAR	1,444.94	11,534.52
10/31/2023		 	TOWN OF MDDLETWN	-86.54	10,089.58
10/26/2023		 	CHESAPEAKE	-22.82	10,176.12
10/22/2023		 	SERVICE CHARGE	-3.00	10,198.94
10/20/2023		 	STATE OF DELAWAR	1,643.95	10,201.94
10/16/2023		 	VERIZON	-33.99	8,557.99
10/06/2023		 	STATE OF DELAWAR	1,688.92	8,591.98
09/29/2023		 	TOWN OF MDDLETWN	-132.35	6,903.06
09/26/2023		 	CHESAPEAKE	-19.18	7,035.41
09/22/2023		 	SERVICE CHARGE	-3.00	7,054.59
09/22/2023		 	STATE OF DELAWAR	1,658.93	7,057.59
09/14/2023		 	VERIZON	-29.99	5,398.66
09/08/2023		 	STATE OF DELAWAR	2,683.60	5,428.65
08/31/2023		 	TOWN OF MDDLETWN	-172.05	2,745.05
08/25/2023	2502	Transaction Image Available	INCLEARING CHECK	-4,240.75	2,917.10
08/24/2023		 	CHESAPEAKE	-20.98	7,157.85
08/24/2023		 	ATM WITHDRAWAL	-100.00	7,178.83
08/23/2023		 	WITHDRAWAL	-8,000.00	7,278.83
08/22/2023		 	SERVICE CHARGE	-3.00	15,278.83
08/15/2023		 	VERIZON	-29.99	15,281.83
08/09/2023	2500	Transaction Image Available	CASHED CHECK	-5,000.00	15,311.82
08/08/2023	2501	Transaction Image Available	INCLEARING CHECK	-36.00	20,311.82
08/07/2023		 	BK OF AMER VISA	-998.26	20,347.82
08/07/2023		 	DEPOSIT	15,032.22	21,346.08
07/31/2023		 	TOWN OF MDDLETWN	-109.14	6,313.86
07/25/2023		 	CHESAPEAKE	-26.48	6,423.00
07/22/2023		 	SERVICE CHARGE	-3.00	6,449.48
07/14/2023		 	VERIZON	-29.99	6,452.48
07/07/2023		 	BK OF AMER VISA	-2,784.24	6,482.47
